wavenumber / cm-1,Absorbance
3912.376,0.0006159345
3912.256,0.0006232012
3912.135,0.0006474908
3912.015,0.0006906979
3911.894,0.0007490773
3911.774,0.0008135063
3911.653,0.0008721015
3911.533,0.0009125749
3911.412,0.000926554
3911.292,0.0009121765
3911.171,0.0008751227
3911.051,0.0008273161
3910.93,0.0007830001
3910.81,0.0007562799
3910.689,0.0007540229
3910.568,0.0007754983
3910.448,0.0008119461
3910.327,0.0008503224
3910.207,0.0008770816
3910.086,0.000883755
3909.966,0.0008686818
3909.845,0.0008376074
3909.725,0.0008004936
3909.604,0.0007675985
3909.484,0.0007464552
3909.363,0.000740846
3909.243,0.0007508033
3909.122,0.0007754983
3909.001,0.0008147677
3908.881,0.000869379
3908.76,0.0009401681
3908.64,0.00102608
3908.519,0.001121377
3908.399,0.001216363
3908.278,0.001297876
3908.158,0.001354243
3908.037,0.001377776
3907.917,0.001367572
3907.796,0.001329947
3907.676,0.001276541
3907.555,0.001220616
3907.435,0.00117307
3907.314,0.001141509
3907.194,0.001128486
3907.073,0.001132539
3906.953,0.001149548
3906.832,0.001174598
3906.711,0.001202308
3906.591,0.001227826
3906.47,0.001247231
3906.35,0.001258264
3906.229,0.001260391
3906.109,0.001256104
3905.988,0.001249425
3905.868,0.001245936
3905.747,0.001250854
3905.627,0.001267834
3905.506,0.001298607
3905.386,0.001342776
3905.265,0.001398518
3905.145,0.001462013
3905.024,0.001529174
3904.904,0.001592455
3904.783,0.001641677
3904.662,0.001665258
3904.542,0.001650224
3904.421,0.001588431
3904.301,0.0014794
3904.18,0.001334368
3904.06,0.001173303
3903.939,0.001019803
3903.819,0.0008958406
3903.698,0.0008150333
3903.578,0.0007806433
3903.457,0.0007885767
3903.337,0.000829142
3903.216,0.0008921219
3903.096,0.0009682944
3902.975,0.001051754
3902.854,0.001138319
3902.734,0.001223905
3902.614,0.001302628
3902.493,0.001366674
3902.372,0.001405033
3902.252,0.00140839
3902.131,0.001369599
3902.011,0.001287142
3901.89,0.00116699
3901.77,0.001020966
3901.649,0.0008646314
3901.529,0.0007131327
3901.408,0.0005799345
3901.288,0.0004747388
3901.167,0.0004030969
3901.047,0.000366982
3900.926,0.000365158
3900.805,0.0003931808
3900.685,0.0004441237
3900.564,0.0005094031
3900.444,0.000580034
3900.323,0.0006474908
3900.203,0.0007041719
3900.082,0.0007455591
3899.962,0.0007697892
3899.841,0.0007786849
3899.721,0.0007784526
3899.6,0.0007795148
3899.48,0.0007949501
3899.359,0.0008360471
3899.239,0.0009094538
3899.118,0.001012762
3898.998,0.001135064
3898.877,0.001258231
3898.757,0.001363284
3898.636,0.001433987
3898.515,0.001461348
3898.395,0.00144549
3898.274,0.001394163
3898.154,0.001320276
3898.033,0.001236266
3897.913,0.001152372
3897.792,0.001073577
3897.672,0.001001404
3897.551,0.000934822
3897.431,0.0008732303
3897.31,0.0008167264
3897.19,0.0007665363
3897.069,0.0007236868
3896.948,0.0006881425
3896.828,0.0006584083
3896.708,0.000633023
3896.587,0.0006104928
3896.467,0.0005909498
3896.346,0.0005755218
3896.225,0.0005647723
3896.105,0.0005581369
3895.984,0.0005535254
3895.864,0.0005484495
3895.743,0.0005420797
3895.623,0.0005364068
3895.502,0.0005373688
3895.382,0.0005528287
3895.261,0.0005893905
3895.141,0.0006487186
3895.02,0.0007268398
3894.9,0.000814801
3894.779,0.0009015515
3894.658,0.0009783233
3894.538,0.001040793
3894.417,0.001090484
3894.297,0.001131277
3894.177,0.001166259
3894.056,0.001194566
3893.935,0.00121088
3893.815,0.001207724
3893.694,0.001179482
3893.574,0.001126593
3893.453,0.001054876
3893.333,0.0009765301
3893.212,0.0009040749
3893.092,0.0008462722
3892.971,0.0008074315
3892.851,0.0007865187
3892.73,0.0007809753
3892.61,0.0007899044
3892.489,0.0008162948
3892.368,0.0008654946
3892.248,0.0009424262
3892.127,0.00104727
3892.007,0.001172705
3891.886,0.001303958
3891.766,0.001421887
3891.645,0.001509523
3891.525,0.001556075
3891.404,0.001562127
3891.284,0.001537387
3891.163,0.001497254
3891.043,0.001454532
3890.922,0.001416369
3890.802,0.001383526
3890.681,0.001353213
3890.561,0.001322436
3890.44,0.001291495
3890.32,0.001263348
3890.199,0.001242147
3890.078,0.001231548
3889.958,0.00123085
3889.837,0.001236067
3889.717,0.001241018
3889.596,0.001239024
3889.476,0.001225866
3889.355,0.001200713
3889.235,0.001164997
3889.114,0.001123005
3888.994,0.001079456
3888.873,0.001038469
3888.753,0.001003065
3888.632,0.000975401
3888.511,0.000955908
3888.391,0.0009432895
3888.271,0.0009356522
3888.15,0.0009295424
3888.03,0.0009222373
3887.909,0.0009116784
3887.788,0.0008973679
3887.668,0.0008806673
3887.547,0.0008631042
3887.427,0.0008466374
3887.306,0.0008320966
3887.186,0.0008198136
3887.065,0.0008099875
3886.945,0.0008043111
3886.824,0.0008055725
3886.704,0.0008174566
3886.583,0.000842222
3886.463,0.0008790737
3886.342,0.0009219385
3886.221,0.0009607563
3886.101,0.0009841017
3885.98,0.0009833711
3885.86,0.0009571366
3885.74,0.0009125749
3885.619,0.0008635026
3885.498,0.0008237308
3885.378,0.0008013899
3885.257,0.0007970413
3885.137,0.0008045102
3885.016,0.0008157304
3884.896,0.0008250587
3884.775,0.0008319305
3884.655,0.0008399644
3884.534,0.0008551363
3884.414,0.0008809661
3884.293,0.0009158622
3884.173,0.0009537163
3884.052,0.0009844338
3883.931,0.0009993118
3883.811,0.0009926034
3883.69,0.0009644091
3883.57,0.0009196142
3883.449,0.0008664242
3883.329,0.0008124772
3883.208,0.0007647107
3883.088,0.0007273044
3882.967,0.0007031099
3882.847,0.0006938506
3882.726,0.0007004549
3882.606,0.0007216622
3882.485,0.0007544875
3882.365,0.0007932239
3882.244,0.0008321962
3882.124,0.0008674866
3882.003,0.0008988952
3881.883,0.0009307046
3881.762,0.0009705193
3881.641,0.001025217
3881.521,0.001096994
3881.4,0.001181974
3881.28,0.001269064
3881.159,0.001344638
3881.039,0.001394496
3880.918,0.001410318
3880.798,0.001390141
3880.677,0.001339286
3880.557,0.001267037
3880.436,0.001183203
3880.316,0.001097094
3880.195,0.001014688
3880.074,0.0009407326
3879.954,0.0008794389
3879.833,0.0008343872
3879.713,0.0008083609
3879.592,0.0008016886
3879.472,0.0008112821
3879.351,0.0008316982
3879.231,0.0008559662
3879.11,0.0008793725
3878.99,0.0009000573
3878.869,0.0009194814
3878.749,0.0009401681
3878.628,0.0009638114
3878.508,0.0009885518
3878.387,0.001009275
3878.267,0.00101977
3878.146,0.00101595
3878.026,0.0009996106
3877.905,0.0009785226
3877.784,0.0009649736
3877.664,0.0009708514
3877.543,0.001003164
3877.423,0.001060921
3877.302,0.001134499
3877.182,0.001208089
3877.061,0.001264644
3876.941,0.001291462
3876.82,0.001282356
3876.7,0.001239855
3876.579,0.001172372
3876.459,0.001093241
3876.338,0.001015585
3876.218,0.0009500304
3876.097,0.000903776
3875.977,0.0008781108
3875.856,0.0008698106
3875.735,0.0008719355
3875.615,0.0008759528
3875.494,0.00087499
3875.374,0.0008652954
3875.253,0.0008485297
3875.133,0.0008307354
3875.012,0.0008195149
3874.892,0.0008208759
3874.771,0.0008356819
3874.651,0.0008575266
3874.53,0.0008748904
3874.41,0.0008746247
3874.289,0.0008481313
3874.169,0.0007961782
3874.048,0.0007291631
3873.927,0.000663386
3873.807,0.0006147731
3873.687,0.0005932724
3873.566,0.0005988798
3873.445,0.0006240307
3873.325,0.0006556541
3873.204,0.0006827995
3873.084,0.0007002889
3872.963,0.0007098138
3872.843,0.0007188412
3872.722,0.0007361329
3872.602,0.0007686274
3872.481,0.0008180542
3872.361,0.0008819954
3872.24,0.0009552106
3872.12,0.001033553
3871.999,0.00111563
3871.878,0.001204168
3871.758,0.001303127
3871.637,0.00141577
3871.517,0.001541843
3871.396,0.0016768
3871.276,0.001811267
3871.155,0.001933228
3871.035,0.002031287
3870.914,0.002095241
3870.794,0.002117382
3870.673,0.002093742
3870.553,0.00202443
3870.432,0.001914191
3870.312,0.001772439
3870.191,0.001612043
3870.071,0.001447185
3869.95,0.001289967
3869.83,0.001148352
3869.709,0.001026279
3869.588,0.0009241964
3869.468,0.0008412924
3869.347,0.0007753987
3869.227,0.0007246161
3869.106,0.0006854876
3868.986,0.0006531652
3868.865,0.0006217744
3868.745,0.0005848118
3868.624,0.0005380987
3868.504,0.0004807759
3868.383,0.0004168605
3868.263,0.0003545464
3868.142,0.0003034481
3868.021,0.0002729777
3867.901,0.0002685681
3867.781,0.0002905501
3867.66,0.0003343186
3867.54,0.0003921195
3867.419,0.0004555005
3867.298,0.0005169334
3867.178,0.0005733984
3867.057,0.0006252917
3866.937,0.0006765273
3866.816,0.0007320506
3866.696,0.0007972736
3866.575,0.0008745251
3866.455,0.0009628151
3866.334,0.001056637
3866.214,0.001147289
3866.093,0.001225334
3865.973,0.001281625
3865.852,0.001310904
3865.731,0.001312698
3865.611,0.001292459
3865.49,0.00125946
3865.37,0.001223972
3865.25,0.001194533
3865.129,0.001173768
3865.008,0.001158784
3864.888,0.001142638
3864.767,0.00111862
3864.647,0.00108487
3864.526,0.001044746
3864.406,0.001005788
3864.285,0.0009760651
3864.165,0.0009610219
3864.044,0.0009598929
3863.924,0.0009670989
3863.803,0.0009734085
3863.683,0.0009708846
3863.562,0.0009556423
3863.441,0.0009300404
3863.321,0.0009009538
3863.2,0.0008791733
3863.08,0.0008744919
3862.959,0.0008927528
3862.839,0.0009357186
3862.718,0.001000308
3862.598,0.001080552
3862.477,0.001168219
3862.357,0.001253977
3862.236,0.001329083
3862.116,0.00138449
3861.995,0.00141351
3861.875,0.001412579
3861.754,0.001383161
3861.634,0.001331243
3861.513,0.001265442
3861.393,0.001195729
3861.272,0.001129018
3861.151,0.001069126
3861.031,0.001015784
3860.91,0.0009667668
3860.79,0.0009198134
3860.669,0.0008742927
3860.549,0.0008320966
3860.428,0.000796477
3860.308,0.0007710505
3860.187,0.0007576076
3860.067,0.0007558484
3859.946,0.0007644119
3859.826,0.0007811745
3859.705,0.0008050745
3859.584,0.000836877
3859.464,0.0008774468
3859.344,0.0009271516
3859.223,0.0009840685
3859.103,0.001043949
3858.982,0.001101047
3858.861,0.001150179
3858.741,0.001189483
3858.62,0.001220649
3858.5,0.001249026
3858.379,0.001280961
3858.259,0.001321406
3858.138,0.001371593
3858.018,0.001428037
3857.897,0.001482858
3857.777,0.001526913
3857.656,0.00155245
3857.536,0.001555443
3857.415,0.001537454
3857.294,0.001504769
3857.174,0.001467166
3857.053,0.001434419
3856.933,0.001414241
3856.813,0.001410717
3856.692,0.001423482
3856.571,0.001448881
3856.451,0.001481429
3856.33,0.001515176
3856.21,0.001546332
3856.089,0.001572868
3855.969,0.001596047
3855.848,0.001618928
3855.728,0.001645967
3855.607,0.00168159
3855.487,0.001728892
3855.366,0.001790006
3855.246,0.001865238
3855.125,0.00195373
3855.004,0.00205206
3854.884,0.002154875
3854.763,0.002252318
3854.643,0.00232863
3854.522,0.002363809
3854.402,0.002336258
3854.281,0.002229804
3854.161,0.002044071
3854.04,0.001797459
3853.92,0.00152402
3853.799,0.001261055
3853.679,0.001041458
3853.558,0.0008846183
