wavenumber / cm-1,Absorbance
3914.184,-0.00183278
3914.064,-0.001823509
3913.943,-0.001815722
3913.823,-0.001810508
3913.702,-0.001806648
3913.582,-0.001803513
3913.461,-0.001800708
3913.341,-0.001799751
3913.22,-0.001801302
3913.1,-0.001805625
3912.979,-0.001810871
3912.858,-0.001815161
3912.738,-0.0018178
3912.617,-0.001819945
3912.497,-0.001825323
3912.376,-0.00183697
3912.256,-0.001855843
3912.135,-0.00187897
3912.015,-0.001900282
3911.894,-0.001912389
3911.774,-0.001911135
3911.653,-0.001897445
3911.533,-0.001878211
3911.412,-0.0018632
3911.292,-0.001861847
3911.171,-0.001880158
3911.051,-0.001917799
3910.93,-0.001970873
3910.81,-0.002032912
3910.689,-0.002098568
3910.568,-0.002164578
3910.448,-0.002228534
3910.327,-0.002287042
3910.207,-0.002333447
3910.086,-0.002357604
3909.966,-0.002348574
3909.845,-0.002299006
3909.725,-0.002208392
3909.604,-0.002085741
3909.484,-0.001948246
3909.363,-0.001817899
3909.243,-0.001713852
3909.122,-0.001649787
3909.001,-0.001630246
3908.881,-0.001650909
3908.76,-0.001701112
3908.64,-0.001767017
3908.519,-0.001836245
3908.399,-0.001898764
3908.278,-0.001948608
3908.158,-0.001983704
3908.037,-0.00200567
3907.917,-0.002018236
3907.796,-0.00202592
3907.676,-0.002033044
3907.555,-0.002042212
3907.435,-0.002053655
3907.314,-0.002065758
3907.194,-0.002076937
3907.073,-0.002086566
3906.953,-0.00209626
3906.832,-0.002110109
3906.711,-0.002132663
3906.591,-0.002167249
3906.47,-0.002212941
3906.35,-0.002265584
3906.229,-0.00231832
3906.109,-0.002365018
3905.988,-0.002403573
3905.868,-0.002437314
3905.747,-0.002472962
3905.627,-0.00251915
3905.506,-0.002581374
3905.386,-0.002659759
3905.265,-0.002748105
3905.145,-0.00283594
3905.024,-0.00291135
3904.904,-0.002962822
3904.783,-0.002982205
3904.662,-0.00296404
3904.542,-0.002906874
3904.421,-0.002812304
3904.301,-0.002684852
3904.18,-0.002533612
3904.06,-0.002370785
3903.939,-0.002210832
3903.819,-0.002068858
3903.698,-0.001958042
3903.578,-0.001887284
3903.457,-0.001862078
3903.337,-0.001883523
3903.216,-0.001948971
3903.096,-0.00205349
3902.975,-0.002188975
3902.854,-0.002344619
3902.734,-0.002505413
3902.614,-0.002653929
3902.493,-0.00277079
3902.372,-0.002838014
3902.252,-0.002843874
3902.131,-0.002787021
3902.011,-0.00267955
3901.89,-0.002542736
3901.77,-0.002404001
3901.649,-0.002288426
3901.529,-0.002210634
3901.408,-0.00217437
3901.288,-0.002173513
3901.167,-0.002197085
3901.047,-0.002232918
3900.926,-0.002271616
3900.805,-0.002308004
3900.685,-0.00234106
3900.564,-0.002371971
3900.444,-0.002402947
3900.323,-0.002435073
3900.203,-0.0024669
3900.082,-0.002494146
3899.962,-0.00250874
3899.841,-0.002501493
3899.721,-0.002464429
3899.6,-0.002393391
3899.48,-0.002292414
3899.359,-0.002173018
3899.239,-0.002052699
3899.118,-0.001947982
3898.998,-0.001869765
3898.877,-0.001819483
3898.757,-0.001790512
3898.636,-0.001771736
3898.515,-0.00175121
3898.395,-0.001722598
3898.274,-0.001685369
3898.154,-0.001645232
3898.033,-0.001609449
3897.913,-0.001584591
3897.792,-0.001573762
3897.672,-0.001576139
3897.551,-0.001589345
3897.431,-0.001610703
3897.31,-0.001638531
3897.19,-0.001671044
3897.069,-0.001704611
3896.948,-0.001733323
3896.828,-0.001748009
3896.708,-0.00174164
3896.587,-0.001712301
3896.467,-0.001666819
3896.346,-0.001621069
3896.225,-0.001593933
3896.105,-0.001603309
3895.984,-0.001657049
3895.864,-0.001750517
3895.743,-0.001867027
3895.623,-0.00198499
3895.502,-0.002084752
3895.382,-0.002154357
3895.261,-0.002192173
3895.141,-0.002203678
3895.02,-0.002197216
3894.9,-0.002178326
3894.779,-0.002148192
3894.658,-0.002105229
3894.538,-0.002048742
3894.417,-0.001982978
3894.297,-0.001917799
3894.177,-0.001865741
3894.056,-0.001838092
3893.935,-0.001840567
3893.815,-0.001870821
3893.694,-0.001920834
3893.574,-0.001981131
3893.453,-0.002045048
3893.333,-0.002110274
3893.212,-0.002178062
3893.092,-0.002250125
3892.971,-0.002325735
3892.851,-0.002400278
3892.73,-0.00246802
3892.61,-0.002523729
3892.489,-0.00256698
3892.368,-0.002600379
3892.248,-0.002628143
3892.127,-0.002651427
3892.007,-0.002664369
3891.886,-0.002654819
3891.766,-0.002607328
3891.645,-0.002511178
3891.525,-0.002367292
3891.404,-0.002190887
3891.284,-0.00200844
3891.163,-0.001849442
3891.043,-0.00173395
3890.922,-0.001667215
3890.802,-0.001640248
3890.681,-0.001637046
3890.561,-0.001640512
3890.44,-0.001639587
3890.32,-0.001630081
3890.199,-0.001613938
3890.078,-0.001594528
3889.958,-0.001574257
3889.837,-0.001554118
3889.717,-0.001534705
3889.596,-0.001517998
3889.476,-0.001508686
3889.355,-0.001512682
3889.235,-0.001534606
3889.114,-0.001574951
3888.994,-0.001628958
3888.873,-0.001688669
3888.753,-0.001746062
3888.632,-0.001796287
3888.511,-0.001840105
3888.391,-0.001882269
3888.271,-0.001928421
3888.15,-0.001981098
3888.03,-0.002038914
3887.909,-0.002096986
3887.788,-0.002149874
3887.668,-0.002196392
3887.547,-0.002239676
3887.427,-0.002287009
3887.306,-0.002347058
3887.186,-0.00242443
3887.065,-0.002517799
3886.945,-0.002619909
3886.824,-0.00272025
3886.704,-0.002808189
3886.583,-0.002874881
3886.463,-0.002914542
3886.342,-0.002922869
3886.221,-0.002896177
3886.101,-0.002830805
3885.98,-0.002726374
3885.86,-0.002588126
3885.74,-0.002428615
3885.619,-0.002267232
3885.498,-0.0021232
3885.378,-0.00200877
3885.257,-0.001925584
3885.137,-0.001864916
3885.016,-0.001813148
3884.896,-0.00175781
3884.775,-0.001693158
3884.655,-0.001621993
3884.534,-0.001554151
3884.414,-0.001500762
3884.293,-0.00146959
3884.173,-0.001461764
3884.052,-0.001472793
3883.931,-0.001495908
3883.811,-0.001526648
3883.69,-0.001565079
3883.57,-0.001615193
3883.449,-0.001681441
3883.329,-0.001764014
3883.208,-0.001856503
3883.088,-0.001945574
3882.967,-0.002017048
3882.847,-0.002059162
3882.726,-0.002067077
3882.606,-0.002044421
3882.485,-0.00200036
3882.365,-0.001946102
3882.244,-0.001891144
3882.124,-0.001841722
3882.003,-0.001801764
3881.883,-0.001773254
3881.762,-0.001759328
3881.641,-0.001763123
3881.521,-0.001786915
3881.4,-0.001830306
3881.28,-0.001889131
3881.159,-0.001956558
3881.039,-0.002024832
3880.918,-0.002087654
3880.798,-0.002140807
3880.677,-0.002181524
3880.557,-0.002206282
3880.436,-0.002208919
3880.316,-0.0021807
3880.195,-0.002114792
3880.074,-0.002009694
3879.954,-0.001873065
3879.833,-0.001721145
3879.713,-0.001573696
3879.592,-0.001449842
3879.472,-0.001360075
3879.351,-0.001305637
3879.231,-0.001279043
3879.11,-0.001269364
3878.99,-0.001266556
3878.869,-0.001265432
3878.749,-0.001265829
3878.628,-0.001270685
3878.508,-0.001281984
3878.387,-0.001298931
3878.267,-0.001316902
3878.146,-0.001331337
3878.026,-0.001340322
3877.905,-0.001346003
3877.784,-0.001355715
3877.664,-0.001377382
3877.543,-0.001416487
3877.423,-0.001472232
3877.302,-0.001537643
3877.182,-0.001601031
3877.061,-0.001650777
3876.941,-0.001679329
3876.82,-0.001684973
3876.7,-0.00167177
3876.579,-0.001646882
3876.459,-0.001619352
3876.338,-0.001596706
3876.218,-0.00158469
3876.097,-0.001587628
3875.977,-0.001607798
3875.856,-0.001645562
3875.735,-0.001699099
3875.615,-0.001763453
3875.494,-0.001832153
3875.374,-0.001898368
3875.253,-0.001957053
3875.133,-0.002006692
3875.012,-0.002048906
3874.892,-0.002086137
3874.771,-0.0021201
3874.651,-0.002149214
3874.53,-0.002168106
3874.41,-0.002171864
3874.289,-0.002157753
3874.169,-0.00212897
3874.048,-0.00209471
3873.927,-0.002066417
3873.807,-0.002053029
3873.687,-0.002057777
3873.566,-0.002075783
3873.445,-0.002098305
3873.325,-0.002115418
3873.204,-0.00212076
3873.084,-0.002114594
3872.963,-0.002101108
3872.843,-0.002086764
3872.722,-0.002076244
3872.602,-0.002071067
3872.481,-0.002069715
3872.361,-0.0020711
3872.24,-0.002076211
3872.12,-0.002089039
3871.999,-0.002115484
3871.878,-0.002159567
3871.758,-0.002220457
3871.637,-0.002292052
3871.517,-0.002363931
3871.396,-0.002427001
3871.276,-0.002477212
3871.155,-0.002517668
3871.035,-0.002557131
3870.914,-0.002606076
3870.794,-0.002671679
3870.673,-0.002753637
3870.553,-0.002841767
3870.432,-0.002919743
3870.312,-0.002969766
3870.191,-0.00297875
3870.071,-0.002941694
3869.95,-0.002862143
3869.83,-0.002748237
3869.709,-0.002608645
3869.588,-0.002450229
3869.468,-0.002279527
3869.347,-0.002104174
3869.227,-0.00193393
3869.106,-0.001780679
3868.986,-0.001654738
3868.865,-0.00156158
3868.745,-0.001500597
3868.624,-0.001464901
3868.504,-0.001445813
3868.383,-0.001433925
3868.263,-0.001423092
3868.142,-0.001411071
3868.021,-0.00139786
3867.901,-0.001384748
3867.781,-0.00137289
3867.66,-0.00136318
3867.54,-0.001357135
3867.419,-0.001356739
3867.298,-0.001365525
3867.178,-0.001386102
3867.057,-0.001419658
3866.937,-0.001464372
3866.816,-0.00151638
3866.696,-0.00157122
3866.575,-0.001626516
3866.455,-0.001683355
3866.334,-0.001746326
3866.214,-0.001820671
3866.093,-0.001908892
3865.973,-0.002007352
